reviewText,cleaned_text,tokens,sentiment_vader,score_vader,sentiment_textblob,score_textblob,sentiment_nltk,score_nltk,overall_sentiment,average_polarity
"We got this GPS for my husband who is an (OTR) over the road trucker.  Very Impressed with the shipping time, it arrived a few days earlier than expected...  within a week of use however it started freezing up... could of just been a glitch in that unit.  Worked great when it worked!  Will work great for the normal person as well but does have the ""trucker"" option. (the big truck routes - tells you when a scale is coming up ect...)  Love the bigger screen, the ease of use, the ease of putting addresses into memory.  Nothing really bad to say about the unit with the exception of it freezing which is probably one in a million and that's just my luck.  I contacted the seller and within minutes of my email I received a email back with instructions for an exchange! VERY impressed all the way around!",we got this gps for my husband who an otr over road trucker very impressed with shipping time it arrived few days earlier than expected within week use however it started freezing up could just been glitch that unit worked great when it worked will work great for normal person as well but does have trucker option big truck routes tells you when scale coming up ect love bigger screen ease use ease putting addresses into memory nothing really bad say about unit with exception it freezing which probably one million thats just my luck i contacted seller within minutes my email i received email back with instructions for an exchange very impressed all way around,we got this gps for my husband who an otr over road trucker very impressed with shipping time it arrived few days earlier than expected within week use however it started freezing up could just been glitch that unit worked great when it worked will work great for normal person as well but does have trucker option big truck routes tells you when scale coming up ect love bigger screen ease use ease putting addresses into memory nothing really bad say about unit with exception it freezing which probably one million thats just my luck i contacted seller within minutes my email i received email back with instructions for an exchange very impressed all way around,Positive,0.9882,Positive,0.2653846153846154,Positive,0.9882,Positive,0.7472615384615384
"I'm a professional OTR truck driver, and I bought a TND 700 at a truck stop hoping to make my life easier.  Rand McNally, are you listening?First thing I did after charging it was connect it to my laptop and install the software and then attempt to update it.  The software detected a problem with my update and wanted my home address so I could be sent a patch on an SD card.  Hello?  I don't think I'm all that unusual; my home address is a PO box that a friend checks weekly and that I might get to check every six months or so.  I live in my truck and at truck stops.  If you need to make a patch available on an SD card then you should send the SD cards to the truck stops where the devices are sold.  I ran the update program multiple times until the program said that the TND 700 was completely updated.I programmed in the height (13'6""), the length (53') and the weight (80,000#) of my rig and told it that I preferred highways.  I was parked at a truck stop in the Cincinnati OH area.  My next pickup was about 15 miles down the same freeway but on the other side of it a couple of blocks.  My cell phone GPS (Sprint) said to get on the freeway to get to my pickup.  The TND 700 routed me thru 23 miles of residential streets before finally getting me to my pickup.  Very exciting, especially since every time I refused to turn down a street posted ""No Trucks"" the TND 700 took almost 5 minutes to figure a re-route, and it happened multiple times on that short trip.I decided to give it another chance.  After my pickup on the north side of Cincinnati just off of I-75 I needed to head to Phoenix AZ via I-71.  Easy route is to just hop on I-75 and drive west and south to the intersection of I-71.  Indeed, that is what my cell phone advised.  The TND 700, however, wanted to route me over surface streets across the city and pick up I-75 on the other side of the city.  I turned it off and the next time I passed a truck stop of the same chain I purchased it at I returned it and got my money back.I then spent $30 on a cheap printer.  Now I take a minute to set up my route on Google and print it out.  Hasn't gotten me lost yet over several cross country trips.",im professional otr truck driver i bought tnd 700 at truck stop hoping make my life easier rand mcnally are you listeningfirst thing i did after charging it was connect it my laptop install software attempt update it software detected problem with my update wanted my home address so i could be sent patch on an sd card hello i dont think im all that unusual my home address po box that friend checks weekly that i might get check every six months or so i live my truck at truck stops you need make patch available on an sd card you should send sd cards truck stops where devices are sold i ran update program multiple times until program said that tnd 700 was completely updatedi programmed height 136 length 53 weight 80000 my rig told it that i preferred highways i was parked at truck stop cincinnati oh area my next pickup was about 15 miles down same freeway but on other side it couple blocks my cell phone gps sprint said get on freeway get my pickup tnd 700 routed me thru 23 miles residential streets before finally getting me my pickup very exciting especially since every time i refused turn down street posted no trucks tnd 700 took almost 5 minutes figure reroute it happened multiple times on that short tripi decided give it another chance after my pickup on north side cincinnati just off i75 i needed head phoenix az via i71 easy route just hop on i75 drive west south intersection i71 indeed that what my cell phone advised tnd 700 however wanted route me over surface streets across city pick up i75 on other side city i turned it off next time i passed truck stop same chain i purchased it at i returned it got my money backi spent 30 on cheap printer now i take minute set up my route on google print it out hasnt gotten me lost yet over several cross country trips,im professional otr truck driver i bought tnd 700 at truck stop hoping make my life easier rand mcnally are you listeningfirst thing i did after charging it was connect it my laptop install software attempt update it software detected problem with my update wanted my home address so i could be sent patch on an sd card hello i dont think im all that unusual my home address po box that friend checks weekly that i might get check every six months or so i live my truck at truck stops you need make patch available on an sd card you should send sd cards truck stops where devices are sold i ran update program multiple times until program said that tnd 700 was completely updatedi programmed height 136 length 53 weight 80000 my rig told it that i preferred highways i was parked at truck stop cincinnati oh area my next pickup was about 15 miles down same freeway but on other side it couple blocks my cell phone gps sprint said get on freeway get my pickup tnd 700 routed me thru 23 miles residential streets before finally getting me my pickup very exciting especially since every time i refused turn down street posted no trucks tnd 700 took almost 5 minutes figure reroute it happened multiple times on that short tripi decided give it another chance after my pickup on north side cincinnati just off i75 i needed head phoenix az via i71 easy route just hop on i75 drive west south intersection i71 indeed that what my cell phone advised tnd 700 however wanted route me over surface streets across city pick up i75 on other side city i turned it off next time i passed truck stop same chain i purchased it at i returned it got my money backi spent 30 on cheap printer now i take minute set up my route on google print it out hasnt gotten me lost yet over several cross country trips,Positive,0.6884,Neutral,0.06244107744107743,Positive,0.4359,Positive,0.3955803591470258
"Well, what can I say.  I've had this unit in my truck for about four days now.  Prior to that I had a Garmin 755T non-truck GPS.  One of my favorite features in that unit was the ability to plan a route by determining mileage using the stop or via feature.  What I would do is using a map I would route myself several different ways forcing the unit by putting in stops or vias at different locations along the route, otherwise, like most GPS 's, it determines what it thinks is the best route.  I could add up to 10 Via's or stop points for each route and then based on mileage and other factors determine which is the best route to take.  Multiple stops and the ability to route was the most important reason for having the Garmin.  However it was not truck specific.  And considering I am now hauling strictly hazmat I wanted something that would take that into consideration.  After perusing various forums, review sites, and word-of-mouth my choices boiled down to the Garmin 465T or the RAND McNally Intelliroute TND 700.  Even though it was quite a bit more than the Garmin I chose the TND 700 for several reasons.  The main one being the extra screen size, and its ability to coordinate with the RAND McNally truck atlas and also its ease of updating.Now on to my first impression of the TND 700.  It seems to be an aesthetically pleasing and durably built unit.  The first thing I noticed was it's very slow to boot compared to my old Garmin.  Whether this is unique to the TND 700 or is common amongst all truck specific gps units I cannot tell, but it's really not that big of a deal.  The second thing I noticed was the overwhelming wealth of information put forth.  That might explain why the manual (available via the TND dock) is well over 100 pages long.....  There is somewhat of a learning curve with this unit.  The next thing I noticed was the complexity of entering routes.  As previously mentioned I like to force it into my preferred routing by the use of stops or vias.  That was a big no go with this unit.  While you can enter multiple stops or vias it is nowhere near as user-friendly as my old Garmin.  Furthermore there is no way you can determine total mileage on the route that you have chosen, as I could with the Garmin.  Totally flummoxed by what appeared to be an omission of one of the best routing tools a trucker could have I went online and verified through an expert source connected with RAND McNally that no, that feature was a couple updates down the line and was not available at this point.  Unbelievable.  Also forcing the unit to follow a specific route can be very challenging.  For a unit of this price, and feature laden, I find this totally unacceptable.  I am still mulling over selling this unit  and buying the Garmin 465T.  I really do like this GPS, the screen is magnificent, and the volume is awesome.Another thing I've noticed, which I do not think is unique to this unit, is some of the weird routing that it does.  I've never owned a truck specific GPS before but after playing with this one for a couple of days I get the impression that what RAND MacNally (and the others that use Navteq) has done is take a plain old car specific Navteq map and a road atlas with truck restrictions and made notifications on the map.  In most databases there is not a 100% thorough listing of every road in the country.  What I mean is that this unit will route you down roads you don't belong on.  Today while coming home it tried routing me on several  9 ton County roads.  What that means is that a truck is limited to 73280 unless the road is posted at 10 tons.  County roads do not have that restriction listed in the RAND McNally road atlas, so I believe that is why it is not listed.....  Also unacceptable in a unit of this price and sold as truck specific.  However I'd be willing to bet the other truck specific units are the same way as no one has ever done a truck specific version of NavTeq.Another bone I have to pick is the POI's. Not only the truck specific ones but the others all seem to be somewhat outdated.  I think the Garmin, at least the ones that I have used, are more current.  It would also be nice if I could add my own POI'sTo sum it up I will keep this unit a little longer to see if I can make it workable.  If not I will go back to Garmin.  I like the concept and I like the unit but at this point I'll have to say I am somewhat unimpressed.pros:Large screenterrific imagesoutstanding volumecons:inability to determine route mileage by multiple stops and viasa somewhat outdated POI information.Non-truck specific routings.Cost.",well what can i say ive had this unit my truck for about four days now prior that i had garmin 755t nontruck gps one my favorite features that unit was ability plan route by determining mileage using stop or via feature what i would do using map i would route myself several different ways forcing unit by putting stops or vias at different locations along route otherwise like most gps s it determines what it thinks best route i could add up 10 vias or stop points for each route based on mileage other factors determine which best route take multiple stops ability route was most important reason for having garmin however it was not truck specific considering i am now hauling strictly hazmat i wanted something that would take that into consideration after perusing various forums review sites wordofmouth my choices boiled down garmin 465t or rand mcnally intelliroute tnd 700 even though it was quite bit more than garmin i chose tnd 700 for several reasons main one being extra screen size its ability coordinate with rand mcnally truck atlas also its ease updatingnow on my first impression tnd 700 it seems be an aesthetically pleasing durably built unit first thing i noticed was its very slow boot compared my old garmin whether this unique tnd 700 or common amongst all truck specific gps units i cannot tell but its really not that big deal second thing i noticed was overwhelming wealth information put forth that might explain why manual available via tnd dock well over 100 pages long there somewhat learning curve with this unit next thing i noticed was complexity entering routes as previously mentioned i like force it into my preferred routing by use stops or vias that was big no go with this unit while you can enter multiple stops or vias it nowhere near as userfriendly as my old garmin furthermore there no way you can determine total mileage on route that you have chosen as i could with garmin totally flummoxed by what appeared be an omission one best routing tools trucker could have i went online verified through an expert source connected with rand mcnally that no that feature was couple updates down line was not available at this point unbelievable also forcing unit follow specific route can be very challenging for unit this price feature laden i find this totally unacceptable i am still mulling over selling this unit buying garmin 465t i really do like this gps screen magnificent volume awesomeanother thing ive noticed which i do not think unique this unit some weird routing that it does ive never owned truck specific gps before but after playing with this one for couple days i get impression that what rand macnally others that use navteq has done take plain old car specific navteq map road atlas with truck restrictions made notifications on map most databases there not 100 thorough listing every road country what i mean that this unit will route you down roads you dont belong on today while coming home it tried routing me on several 9 ton county roads what that means that truck limited 73280 unless road posted at 10 tons county roads do not have that restriction listed rand mcnally road atlas so i believe that why it not listed also unacceptable unit this price sold as truck specific however id be willing bet other truck specific units are same way as no one has ever done truck specific version navteqanother bone i have pick pois not only truck specific ones but others all seem be somewhat outdated i think garmin at least ones that i have used are more current it would also be nice i could add my own poisto sum it up i will keep this unit little longer see i can make it workable not i will go back garmin i like concept i like unit but at this point ill have say i am somewhat unimpressedproslarge screenterrific imagesoutstanding volumeconsinability determine route mileage by multiple stops viasa somewhat outdated poi informationnontruck specific routingscost,well what can i say ive had this unit my truck for about four days now prior that i had garmin 755t nontruck gps one_my favorite features that unit was ability plan route by determining mileage using stop or via feature what i would do using map i would route myself several different ways forcing unit by putting stops or vias at different locations along route otherwise like most gps s it determines what it thinks best route i could add up 10 vias or stop points for each route based on mileage other factors determine which best route take multiple stops ability route was most important reason for having garmin however it was not truck specific considering i am now hauling strictly hazmat i wanted something that would take that into consideration after perusing various forums review sites wordofmouth my choices boiled down garmin 465t or rand mcnally intelliroute tnd 700 even though it was quite bit more than garmin i chose tnd 700 for several reasons main one being extra screen size its ability coordinate with rand mcnally truck atlas also its ease updatingnow on my first impression tnd 700 it seems be an aesthetically pleasing durably built unit first thing i noticed was its very slow boot compared my old garmin whether this unique tnd 700 or common amongst all truck specific gps units i cannot tell but its really not that big deal second thing i noticed was overwhelming wealth information put forth that might explain why manual available via tnd dock well over 100 pages long there somewhat learning curve with this unit next thing i noticed was complexity entering routes as previously mentioned i like force it into my preferred routing by use stops or vias that was big no go with this unit while you can enter multiple stops or vias it nowhere near as userfriendly as my old garmin furthermore there no way you can determine total mileage on route that you have chosen as i could with garmin totally flummoxed by what appeared be an omission one best routing tools trucker could have i went online verified through an expert source connected with rand mcnally that no that feature was couple updates down line was not available at this point unbelievable also forcing unit follow specific route can be very challenging for unit this price feature laden i find this totally unacceptable i am still mulling over selling this unit buying garmin 465t i really do like this gps screen magnificent volume awesomeanother thing ive noticed which i do not think unique this unit some weird routing that it does ive never owned truck specific gps before but after playing with this one for couple days i get impression that what rand macnally others that use navteq has done take plain old car specific navteq map road atlas with truck restrictions made notifications on map most databases there not 100 thorough listing every road country what i mean that this unit will route you down roads you dont belong on today while coming home it tried routing me on several 9 ton county roads what that means that truck limited 73280 unless road posted at 10 tons county roads do not have that restriction listed rand mcnally road atlas so i believe that why it not listed also unacceptable unit this price sold as truck specific however id be willing bet other truck specific units are same way as no one has ever done truck specific version navteqanother bone i have pick pois not only truck specific ones but others all seem be somewhat outdated i think garmin at least ones that i have used are more current it would also be nice i could add my own poisto sum it up i will keep this unit little longer see i can make it workable not i will go back garmin i like concept i like unit but at this point ill have say i am somewhat unimpressedproslarge screenterrific imagesoutstanding volumeconsinability determine route mileage by multiple stops viasa somewhat outdated poi informationnontruck specific routingscost,Positive,0.9921,Neutral,0.09946353224834235,Positive,0.9842,Positive,0.6919211774161141
"Not going to write a long review, even thought this unit deserves one. I've driven well over 1-mil miles and done most of my own routing so I pretty know whats the fastest and shortest. Have been using a basic garmin for the past three years and with ANY Gps unit they'll ALL get you in trouble if you let them. I was really excited about this unit, due to the size and the features. Allot of great grafics and on screen info thats usefull. But the most basic item that it was lacking was the gps tracking. I gave this unit allot of leadway on its mistakes due to the fact that it had allot of cool stuff that it did, but its ability to track you and route you was not even close to what the basic garmin could due. Its like the prossesor that they installed in the TND 700 was 10 years old. Example if I needed to make a simple route change I.E. in town down to the next street due to the fact that I couldn't make the turn or the street was blocked off, it would take the TND 700 upwards of 45 seconds to a minute and a half to reroute me. Here I'm sitting at a stop light waiting for directions and waiting that long with cars on my backside didn't make me happy. This is a problem that happened evertime you had to reroute, weather it was a simple street change or a major highway change. Also from the time you turned the unit on it would take twice as long to boot itself up. At least a dozen times with in a week it put me on the wrong roads and when I made a wrong turn it got it self lost....I.E. take left on xyz street, and it was some ones drive way. Or turn left in 800 yards and the turn was less than 10 feet away. You might think in a conjested city situation I might get a little mixed up, but this is out in the country. Twice it put me under 12'6"" bridges when I'm 13'6"". Of course I made sure all my truck setting where they were supposed to be. I also updated the OS version,via Rand McNally. All in all I expected alot out of this unit and got a unit that should of been field tested with some people that drive allot. It just had to many route mistakes. Going back to the basic garmin. This isn't just my complaints, I have three friends that bought the same unit and have the same complaints. All of us returned the units.",not going write long review even thought this unit deserves one ive driven well over 1mil miles done most my own routing so i pretty know whats fastest shortest have been using basic garmin for past three years with any gps unit theyll all get you trouble you let them i was really excited about this unit due size features allot great grafics on screen info thats usefull but most basic item that it was lacking was gps tracking i gave this unit allot leadway on its mistakes due fact that it had allot cool stuff that it did but its ability track you route you was not even close what basic garmin could due its like prossesor that they installed tnd 700 was 10 years old example i needed make simple route change ie town down next street due fact that i couldnt make turn or street was blocked off it would take tnd 700 upwards 45 seconds minute half reroute me here im sitting at stop light waiting for directions waiting that long with cars on my backside didnt make me happy this problem that happened evertime you had reroute weather it was simple street change or major highway change also from time you turned unit on it would take twice as long boot itself up at least dozen times with week it put me on wrong roads when i made wrong turn it got it self lostie take left on xyz street it was some ones drive way or turn left 800 yards turn was less than 10 feet away you might think conjested city situation i might get little mixed up but this out country twice it put me under 126 bridges when im 136 course i made sure all my truck setting where they were supposed be i also updated os versionvia rand mcnally all all i expected alot out this unit got unit that should been field tested with some people that drive allot it just had many route mistakes going back basic garmin this isnt just my complaints i have three friends that bought same unit have same complaints all us returned units,not going write long review even thought this unit deserves one ive driven well over 1mil miles done most my own routing so i pretty know whats fastest shortest have been using basic garmin for past three years with any gps unit theyll all get you trouble you let them i was really excited about this unit due size features allot great grafics on screen info thats usefull but most basic item that it was lacking was gps tracking i gave this unit allot leadway on its mistakes due fact that it had allot cool stuff that it did but its ability track you route you was not even close what basic garmin could due its like prossesor that they installed tnd 700 was 10 years old example i needed make simple route change ie town down next street due fact that i couldnt make turn or street was blocked off it would take tnd 700 upwards 45 seconds minute half reroute me here im sitting at stop light waiting for directions waiting that long with cars on my backside didnt make me happy this problem that happened evertime you had reroute weather it was simple street change or major highway change also from time you turned unit on it would take twice as long boot itself up at least dozen times with week it put me on wrong roads when i made wrong turn it got it self lostie take left on xyz street it was some ones drive way or turn left 800 yards turn was less than 10 feet away you might think conjested city situation i might get little mixed up but this out country twice it put me under 126 bridges when im 136 course i made sure all my truck setting where they were supposed be i also updated os versionvia rand mcnally all all i expected alot out this unit got unit that should been field tested with some people that drive allot it just had many route mistakes going back basic garmin this isnt just my complaints i have three friends that bought same unit have same complaints all us returned units,Negative,-0.8349,Neutral,0.05956072351421191,Negative,-0.2774,Negative,-0.3509130921619293
"I've had mine for a year and here's what we got. It tries to route be down non truck routes while telling me the truck route is illegal for me. This is such a bad problem that even Interstate 25 in Denver Colorado is listed (according to this GPS) as a non- truck route and will route you through the city instead. There are several drivers within our company who own one and more than half (of about 50) have crashed to an un-recoverable state. Our company representative said that Rand McNally informed them that the GPS was not designed to say on for a long period of time. Really? it's a truck driver GPS. We have one driver with a $2400 dollar ticket due to this GPS routing him down the wrong road. The companies response was to update the unit. I've had mine for a year, I never noticed one update that corrected functionality, they only seem to keep messing the tools. I want a GPS that routes, if I wanted tools I'd buy software for my computer.My suggestion is to by a nice Garmen. My one rated for cars actually routes me better than this one rated for trucks.Wayne",ive had mine for year heres what we got it tries route be down non truck routes while telling me truck route illegal for me this such bad problem that even interstate 25 denver colorado listed according this gps as non truck route will route you through city instead there are several drivers within our company who own one more than half about 50 have crashed an unrecoverable state our company representative said that rand mcnally informed them that gps was not designed say on for long period time really its truck driver gps we have one driver with 2400 dollar ticket due this gps routing him down wrong road companies response was update unit ive had mine for year i never noticed one update that corrected functionality they only seem keep messing tools i want gps that routes i wanted tools id buy software for my computermy suggestion by nice garmen my one rated for cars actually routes me better than this one rated for truckswayne,ive had mine for year heres what we got it tries route be down non truck routes while telling me truck route illegal for me this such bad problem that even interstate 25 denver colorado listed according this gps as non truck route will route you through city instead there are several drivers within our company who own one more than half about 50 have crashed an unrecoverable state our company representative said that rand mcnally informed them that gps was not designed say on for long period time really its truck driver gps we have one driver with 2400 dollar ticket due this gps routing him down wrong road companies response was update unit ive had mine for year i never noticed one update that corrected functionality they only seem keep messing tools i want gps that routes i wanted tools id buy software for my computermy suggestion by nice garmen my one rated for cars actually routes me better than this one rated for truckswayne,Negative,-0.7845,Neutral,-0.002932098765432082,Negative,-0.7845,Negative,-0.523977366255144
I am using this with a Nook HD+. It works as described. The HD picture on my Samsung 52&#34; TV is excellent.,i am using this with nook hd it works as described hd picture on my samsung 5234 tv excellent,i am using this with nook hd it works as described hd picture on my samsung 5234 tv excellent,Positive,0.5719,Positive,1.0,Positive,0.5719,Positive,0.7145999999999999
The cable is very wobbly and sometimes disconnects itself.The price is completely unfair and only works with the Nook HD and HD+,cable very wobbly sometimes disconnects itselfthe price completely unfair only works with nook hd hd,cable very wobbly sometimes disconnects itselfthe price completely unfair only works with nook hd hd,Negative,-0.5256,Neutral,-0.09999999999999999,Negative,-0.5256,Negative,-0.38373333333333326
"This adaptor is real easy to setup and use right out of the box. I had not problem with it at all, it is well worth the purchase. I recommend this adaptor very much for viewing your Nook videos on your HDTV. I just disagree with other reviews on the length of the adaptor, I found it to be fairly adequate as to how and where it is connected to my TV. For me it was just right not too long or too short, I was able to place my Nook right below the connection on the TV stand, it did not fall or anything else, it is fine. Use your own judgement, I'm too busy watching my movies :)",this adaptor real easy setup use right out box i had not problem with it at all it well worth purchase i recommend this adaptor very much for viewing your nook videos on your hdtv i just disagree with other reviews on length adaptor i found it be fairly adequate as how where it connected my tv for me it was just right not too long or too short i was able place my nook right below connection on tv stand it did not fall or anything else it fine use your own judgement im too busy watching my movies,this adaptor real easy setup use right out box i had not problem with it at all it well worth purchase i recommend this adaptor very much for viewing your nook videos on your hdtv i just disagree with other reviews on length adaptor i found it be fairly adequate as how where it connected my tv for me it was just right not too long or too short i was able place my nook right below connection on tv stand it did not fall or anything else it fine use your own judgement im too busy watching my movies,Positive,0.9146,Positive,0.2894761904761905,Positive,0.9146,Positive,0.7062253968253969
"This adapter easily connects my Nook HD 7&#34; to my HDTV through the HDMI cable.  This is good for traveling because it makes any hotel TV a potential smart TV so long as there is an accessible HDMI port.  It is also good for sharing photos from FB on a bigger screen. A bit pricey, but a good accessory to have.  Be sure to note that this is ONLY for the Nook HD and HD+ series.  It will not work with a standard Nook.",this adapter easily connects my nook hd 734 my hdtv through hdmi cable this good for traveling because it makes any hotel tv potential smart tv so long as there an accessible hdmi port it also good for sharing photos from fb on bigger screen bit pricey but good accessory have be sure note that this only for nook hd hd series it will not work with standard nook,this adapter easily connects my nook hd 734 my hdtv through hdmi cable this good for traveling because it makes any hotel tv potential smart tv so long as there an accessible hdmi port it also good for sharing photos from fb on bigger screen bit pricey but good accessory have be sure note that this only for nook hd hd series it will not work with standard nook,Positive,0.9209,Positive,0.29771825396825397,Positive,0.9209,Positive,0.7131727513227514
This product really works great but I found the following items you need to keep in mind:- You must have your power adapter connected for it to work...it plugs in the the bottom. It appears it needs power from the nook power adapter to operate.- The plug fits in loosely and you cannot move the Nook around much without holding the adapter in place.- On initial plugin it seems you need to rock it around to get the connection but then it seems solid.- It works with a 25ft high quality HDMI cable so you can put the NOOK across the room with you. Not tested with cheap cables.Warning...I found that my LG SmartTV 3D from a few years back does not work with this adapter but it does not seem to work with many things...bad software. This adapter works fine with other HDMI devices I have used like monitors and I am sure other TVs.Gave it five stars because it really is nice to extend the screen and use your Nook as a streaming server to your TV. Nice they made such a device.,this product really works great but i found following items you need keep mind you must have your power adapter connected for it workit plugs bottom it appears it needs power from nook power adapter operate plug fits loosely you cannot move nook around much without holding adapter place on initial plugin it seems you need rock it around get connection but it seems solid it works with 25ft high quality hdmi cable so you can put nook across room with you not tested with cheap cableswarningi found that my lg smarttv 3d from few years back does not work with this adapter but it does not seem work with many thingsbad software this adapter works fine with other hdmi devices i have used like monitors i am sure other tvsgave it five stars because it really nice extend screen use your nook as streaming server your tv nice they made such device,this product really works great but i found following items you need keep mind you must have your power adapter connected for it workit plugs bottom it appears it needs power from nook power adapter operate plug fits loosely you cannot move nook around much without holding adapter place on initial plugin it seems you need rock it around get connection but it seems solid it works with 25ft high quality hdmi cable so you can put nook across room with you not tested with cheap cableswarningi found that my lg smarttv 3d from few years back does not work with this adapter but it does not seem work with many thingsbad software this adapter works fine with other hdmi devices i have used like monitors i am sure other tvsgave it five stars because it really nice extend screen use your nook as streaming server your tv nice they made such device,Positive,0.9677,Positive,0.20261808367071527,Positive,0.9636,Positive,0.7113060278902384
