userid,mtime,rating_star,comment
69545822,20/05/2021 11:29,5,"Đồ giống hình, nhìn khá xinh, giá rẻ, ship siêu nhanh luôn. Chưa dùng thử nên chưa biết thế nào"
49021104,08/05/2021 22:10,5,"Giao hàng nhanh. Mình đặt hộ nên ko biết chất lượng như nào. Nhưng có vẻ ổn, shop bán hàng giá rẻ và rất oke luôn. Nhìn màu cũng xinh xẻo lắm, có cơ hội thì mình cũng sẽ ủng hộ"
275113953,30/06/2021 21:42,5,Sản phẩm giống trên hình. Son khá lì. Thời gian giao hàng hơi lâu chút.
470905623,30/06/2021 21:42,5,"Son xinh xĩu lun á shopp ơii.vỏ son nhìn cute dễ sợ, lên màu đẹp, với giá rẻ như vạy thì ko cần phải bàn nữa rồi"
321034368,19/05/2021 12:08,5,"Cách xoá MỤN ĐẦU ĐEN mũi bằng DẦU TẨY TRANG. K biết các ông đã nghe đến phương pháp này chưa T đc biết dầu tẩy trang hoạt động với cơ chế Dầu hoà tan dầu. Mụn đầu đen hình thành với cơ chế là do tuyến dầu, bởi vậy nên dùng sp dầu để làm tan ra. Dùng bất cứ dầu tt nào cũng đc, mà phải dùng dầu"
23364385,26/05/2021 15:04,5,Xinh lắm các bạn ơi bling bling lắm giao hàng nhanh nữa iu cá sẽ ủng hộ tiếp
124689928,05/06/2021 13:52,5,"shop giao hàng đủ, giao hàng nhanh, sản phẩm ok,ổn. đóng gói sản phẩm chắc chắn"
70572173,30/06/2021 12:58,5,"son trông khá cute, test thử lên tay màu cũng ok, chưa test lên môi nên chưa biết ntn. Ổn"
58074290,14/05/2021 16:57,5,Chất son ok phù hợp giá tiền gói hàng nhanh giao hàng cẩn thận oki iu ạ
354970721,16/05/2021 10:21,5,Anbxkdkdkdmdndnxk d k ksks bsskskansnsiakk
80925503,11/05/2021 08:37,5,ship hơi lâuu chuii còn đâu mọi thứ từ son đều rất là oklaa
157958795,30/06/2021 13:58,5,Son xịn màu đẹp mỗi tội là nhanh trôi thui nên mua nha sẽ ủng hộ shop nhìu hơn nữaa
81543023,24/05/2021 10:15,5,Màu son cũng khá giống hình. Bên ngoài có vẻ đậm hơn hình. Lên môi không đều màu lắm nhưng màu đậm đậm này khá vừa ý mình
42357395,02/07/2021 09:57,5,Sẽ tiếp tục ủng hộ shop
66208653,20/05/2021 10:17,5,"Son nhìn xinh lắm nma hơi bị kiểu dính dính mình cảm giác do nóng quá nên kết cấu son bị thay đổi í giao hàng siêu nhanh, shop có tặng dây chun bé bé hihi ncl mua hàng của shop nhiều r nên ko có p nói"
80750179,19/05/2021 20:37,5,Giống v a đc ko a em tinh tế có bài viết của mình là người lớn tuổi hơn mình thì mình cũng nên có cái gì cũng nên có cái gì cũng nên
139753383,21/05/2021 22:37,5,"Giao đủ hàng, giao hàng khá nhanh nháaa. Son em thấy màu k chuẩn như ảnh"
11509202,18/05/2021 00:23,5,ibibibobivibovivovivobibobobobobo
37692983,06/07/2021 22:52,5,"Giao hàng quốc tế nên hơi lâu, đóng gói cẩn thận sẽ ghé lại nữa."
47066216,25/06/2021 15:27,5,"son đẹp lắm mng nên mua nhaa, sẽ quay lại ủng hộ tiếp"
80834745,14/06/2021 15:43,5,"Hàng giao đầy đủ, đóng gói cẩn thận, mua bao nhiêu lần cũng vẫn thích"
85284320,29/04/2021 09:13,5,vỏ son siêu xinh nha màu lên cũng ổn thui không đến nỗi quá tốt đâuu
97023483,14/05/2021 13:21,5,"Hàng đẹp mà siêu rẻ luôn ấy mn, chất lượng cũng tốt nữa. Mn nên mua"
35557733,03/07/2021 12:02,5,mua mấy lần ở shop rồi ấy ạaa đỉnh nhất là cái mascara luôn ý mà giao siêu nhanhh
81470876,07/05/2021 22:37,5,"Son đẹp màu ko có nhiều sắc nâu nhue hình nma vẫn đẹp nha, giao hàng nhanh, giá cả phải chăng"
371098135,21/06/2021 10:26,5,Hàngg xài ok nha quí dị ơii.đừng kì cọ dô hình là xài đc tận ngày đóa cũng tùy cơ địa mồ hôi nữa nhé
235397002,21/06/2021 10:58,5,"Đã nhận được sản phẩm rồi ạ. Shop đóng gói rất cẩn thận. Mở ra trông xinh lắm, còn được chiếc vòng cột tóc nữa. Cảm ơn shop rất nhiều ạ"
193560998,03/07/2021 15:29,5,Goodd
397931249,01/07/2021 20:29,5,"son đẹp, chất lượng, giá rẽ nhunge rất ok, mix với blr A là chuẩn đẹp, mọi người nên mua nha, xin lỗi vì ảnh và video không liên quan ạ"
150936644,05/07/2021 15:03,5,Giao hàng đầy đủ chưa dùng nên không biết chất lượng như thế nào nhưng mùi thơm lắm nên mua giao đúng màu
46125610,16/05/2021 20:13,5,"Son đẹp, xinh lắm. Shop giao đúng mẫu, hàng giao cũng khá nhanh."
183804337,21/05/2021 13:14,5,sản phẩm oki ship khá lâu bù qua chất lượng hâh gói hàng kĩ mãi ủng hộ
79062771,20/06/2021 13:37,5,"Shop đóng gói cẩn thận, vì ship từ nước ngoài nên giao hơi lâu, giá rẻ nhưng sản phẩm tốt, sẽ ủng hộ shop nữa"
196396176,21/05/2021 09:00,5,"Son bóng rấc okila nhaa, tim tím xinh xẻo cực, đáng giá tiền áy"
325497286,04/07/2021 02:01,5,Sản phẩm đẹp và chất lượng. Giao hàng nhanh. Sẽ tiếp tục ủng hộ shop
254265537,17/05/2021 20:40,5,Son tím siêu xinh. Đánh lên môi khá mượt. Màu lên xinh lắm. Nên mua nha
340503034,05/05/2021 20:47,5,Shopp giaioo hàngg nhanhh kinh khủng. Tư vấn nhiệtt tìnhh nữaa ạ. Mnn nênn ủngg hộ shopp nhaa
95974196,30/04/2021 06:51,5,"Vỏ hộp thì siuu đẹp, màu cũng lên đẹp lắm luôn nhưng mỗi tội là mình ko mua đc màu mình thích nhưng vẫn thích lắm nha"
159224466,24/05/2021 12:03,5,"Đồ của shop xinh lắm luônn. Ưng lắm, lần sau sẽ ủng hộ shopp. Đóng gói rất cẩn thận, bên trong còn được tặng thêm nút buộc tóc. Thank shopp"
36619605,01/07/2021 00:52,5,son mượt màu đẹp khá lâu trôi.
235337900,05/07/2021 09:26,5,"shop mày bán rất oki nha giá lại hớp lí, sẽ ủng hộ shopp nhiều lần nữa"
240104639,12/05/2021 20:39,5,"Son chất khá okee, tán cx dễ, màuu đẹp nhee mà có vẻ herr ít"
368185231,28/06/2021 23:11,5,Shop giao hàng nhanh lắm đóng gói kĩ càng sản phẩm ok nên mua nha
79618360,18/06/2021 19:59,5,Màu hơi hồng quá hơi khó tán chỉ đọng ở lòng môi bao bì đẹp chắc chắn
287112031,26/05/2021 13:14,5,Đánh giá chỉ mang tính chất nhận xu chúc mọi người có một ngày tốt lành
350284952,13/05/2021 13:33,5,Son siêu đẹp luôn nha. Chất mịn. Vỏ xinh sksddssdbd
195481671,01/06/2021 11:36,5,Son đáng yêu cực ạ màu lên môi cũng đẹp nữa lần sau sẽ mua tiếpp
195481671,08/06/2021 15:47,5,"Son mịn, đúng màu xinh xẻo, màu và đều đẹpp"
281937079,19/05/2021 10:12,5,Sp tốt giá rẻ phù hợp với giá tiền.
408874261,26/06/2021 12:56,5,"Son màu đẹp. Bao bì thì OK. Màu lên ổn, ko trầm mấy.o. Cái hình là do mk oom lên nên ko đc sắc nét cho lắm"
380792556,04/07/2021 13:21,5,Đóng gói sản phẩm đẹp và chắc chắn nên mua nha mn
256633051,31/05/2021 15:43,5,Thời gian giao hàng nhanh. Ảnh và video chỉ để nhận xu. Shop phục vụ rất tốt
291123504,17/06/2021 10:26,5,Vỏ ngoài rất xinh xắn luônn. Màu rất đẹpp. Mùi cũng thơm thơm. Nên muaa
384642367,01/07/2021 19:46,5,Uttudyckudhxgykdykxgxhcchvhchvkvhxchchcuccvkcyxc
429598444,03/07/2021 20:46,5,abcdeghiklmnopqrstuvxysnsddkskkssosososoeoeoeidiieie
224784392,02/07/2021 11:09,5,Hàng đẹp. Giao hàng nhanh. Sẽ còn ủng hộ thêm nhiều sp của shop
392892596,06/05/2021 19:40,5,"Đủ sản phẩm, xịn xò, giao hàng nhanh, chưa sd nên chưa biết sao"
150707572,02/07/2021 20:57,5,chất lượng sản phẩm tuyệt vời giao hàng nhanh đóng gói cẩn thận
80965801,30/06/2021 09:00,5,màu này mình chưa test hy vọng sẽ xinh giống đợt trước mình mua.
352604562,09/06/2021 22:38,5,Giao hàng nhanh. Son xinb lắm nha
20273920,19/04/2021 08:20,5,Nhận đủ hàng. Chất son thơm mịn lắm. Mới test thử sơ sơ. K pít có lì k thì chưa biết.
79300168,20/04/2021 15:58,5,Son bóng nên lúc đè lên son khác trông cũng OK giá thành rẻ nhưng mà chả thích cái đầu cọ lắm lúc đầu nghĩ thoa sẽ dễ nhưng mà không
291870694,23/04/2021 14:47,5,"Trong video mình quay thì màu hơi sáng tí, nhưng màu ở ngoài đẹp lắm nhà, son khá là mịn, vỏ son cute, nên mua nha mng."
852959,24/04/2021 01:55,5,"Son bóng thơm nhẹ, có nhũ blink blink, chất phù hợp với giá tiền"
224100719,20/04/2021 08:03,5,Xịn xò lắm mọi người oi
42242997,17/06/2021 12:41,5,"Xoay nắp thì kêu cọt kẹt. Kim tuyến màu đẹp, son hơi dính. Mình mua để chụp ảnh cho đẹp nên vậy ok rùi"
350690288,26/04/2021 17:44,5,Okiepp son xinhh ahh Ship cựcc nhanhh luônn ahh
377956476,22/05/2021 11:55,5,Son màu đẹp lắm haha gbvcdssreuioobvvcxsserttyu
233021162,15/04/2021 13:12,5,Mua nhiều lần mà lần nào cũng ưng luôn í. Giao đủ hàng đúng mẫu. Giá rẻ. Bọc hàng siêu cẩn thận. Giao hàng cũng siêu nhanh.
400594097,26/04/2021 17:59,5,Sản phẩm tốt. Giao hàng HN khá nhanh. Chất lượng phục vụ đc.
357034094,19/04/2021 12:39,5,Son ưng quá troii.
268196515,14/05/2021 17:03,5,"chắc lượng sản phẩm tốt giao hàng nhanh đóng gói cẩn thận rất đáng tiền mua, son này dùng thích lắm nha chất son mượt hơi lì"
424583289,18/04/2021 12:56,5,son chất đẹp mùi thơm ship nhanh nch là được
200941352,12/04/2021 22:12,5,Son môi màu hồng nhạt nhòa cẩu thả trong những ngày đầu năm mới giáp ngọ năm giáp ngọ năm giáp
292925963,28/05/2021 16:06,5,"Son cũng khá mượt, mịn. Mà có cái son bóng là hơi hôi, son kia thì cx thơm. Không bt là real hay ake nữa"
33467660,10/05/2021 17:53,5,Son đẹp lắm nha bling bling cực mà giá thì quá rẻ rồi nghiện đồ của shop luôn
131643447,28/04/2021 17:30,5,"Màu lên xinh xỉu, nên mua màu này, mùi thì hơi khó diễn tả nma cx chấp nhận được, mở nắp thì kót két, nma có hai mấy ngàn nên như vậy là đỉnh lắm á"
165444780,06/04/2021 12:58,5,"Son thiết kế phần vỏ khá đẹp, lấp lánh blink blink, chất son khá mịn, dễ trôi"
306058616,08/04/2021 13:16,5,Huhu son xinh vãi. Dầu gội khô dùng ổn. Phấn cũng đc. Giấy thấm dầu thì mỏng quá dễ rách
215718945,11/04/2021 13:32,5,Hàng giá rẻ màu này kén da và chất son ko đẹp và ko lì hơi bị nc. Đóng gói hàng kỹ lưỡng ô bị hư hại. Có thể ủng hộ shop mua hàng những lần tới
86998346,13/04/2021 20:17,1,Tạmm. mikrkrkrkrn
8625152,20/04/2021 12:06,5,"Đóng gói hàng cẩn thận, giao hàng nhanh, chất lượng sản phẩm tốt"
59142297,08/04/2021 17:00,5,Son lỳ khỏi chê mà kh hề bị khô môi luôn màu mắt lên màu chuẩn khỏi chê lần đầu tiên mua mà ưng từ ngay cái khâu gói hàng cứ sợ bảng mắt bị bể
294934235,05/04/2021 16:49,5,Son Kem Gellas Tlight Vỏ Trangvbnsnxnnxnxnn
136838200,06/04/2021 20:17,5,Xinh xỉuu
51355656,05/05/2021 09:33,5,"Son màu ko tươi như trong hình nhg vỏ đẹp,mùi dễ chịu,mua của shoo nhiều r nên ko có rì ko hài lòng cả"
7464366,10/06/2021 15:33,5,Hàng nhận đủ và đóng gói ổn. Shop nhiều mặt hàng xinh sẽ ủng hộ lần nữa
235341522,06/04/2021 11:36,5,Hahnsbshghsb son đẹp
142767180,03/06/2021 18:30,5,". Triền đê tuổi thơ ở ngoại thành Hà Nội. Tháng Sáu về, nắng hè còn gay gắt, nhưng chẳng thể phủ nhận vẻ đẹp của bầu trời. Tháng Sáu, bầu trời trong và cao, xanh một màu yên ả. Bên triền đê, những đám cỏ xanh mượt như trải dài đến tận cuối đường. Nhớ ngày còn bé, nghỉ hè được"
167048543,25/04/2021 08:36,5,Hàng đẹp lắm nhaa giá còn rẻ nữa thích ghê á sẽ mua ủng hộ shop
7810345,10/04/2021 07:21,5,dthh đẹpp okelaa neenenenneneen hihihihihihihi
29929716,07/05/2021 14:20,5,Úi dùi son xinh khỏi bàn hic mãi ủng hộ shop ạ.
134719186,21/03/2021 00:43,5,vỏ son rất xinh và chắc chắn. chất lương siêu siêu ưng luôn ạ
51866050,11/03/2021 12:17,5,"son vỏ siêu đẹp luôn ý ạ, bản dupe của romand ạ. Chai setting spray mùi thơm siêu nhẹ, rẻ vs đẹp lắm ạ, xịt lên tầm p là set lại r, còn có kim tuyến nhỏ siêu xinh. Chai ml nhỏ gọn, dẽ mang đi du lịch"
162430306,23/04/2021 13:30,5,"Xinh ạ, mình đã up vid lên tik tok rồi nha, lần sau sẽ ủng hộ tiếp ạ"
