userid,mtime,rating_star,comment,tokenized_comment,cleaned_comment
29551226,11/11/2020 12:20,5,Giá rẻ. Mua xịt khử mùi ăn uóng khá ổn,Giá rẻ . Mua xịt khử mùi ăn uóng khá ổn,Giá rẻ . Mua xịt khử mùi ăn uóng khá ổn
91487442,21/11/2020 19:26,5,"thơm lắm mn oi có chai đào là khi xịt hòi là hơi hắt nhưng mà k sao em vẫn rất ưng luôn, lưu hương tầm tiếng mà giao hàng hơi lâu","thơm lắm mn oi có chai đào là khi xịt hòi là hơi hắt nhưng mà k sao em vẫn rất ưng luôn , lưu hương tầm tiếng mà giao hàng hơi lâu","thơm lắm mn oi chai đào xịt hòi hơi hắt k sao em vẫn rất ưng luôn , lưu hương tầm tiếng giao hàng hơi lâu"
139777572,13/11/2020 20:09,5,eidighgghuđhuêd Dbddnd ĐĐ D D c chr ý nghĩa là một loài thực vật có,eidighgghuđhuêd Dbddnd ĐĐ D D c chr ý_nghĩa_là một loài thực_vật có,eidighgghuđhuêd Dbddnd ĐĐ D D c chr ý_nghĩa_là loài thực_vật
4854002,08/12/2020 15:18,5,Thơm nha các bạn nhưng k giữ đc mùi lâu đâu nhé,Thơm nha các bạn nhưng k giữ đc mùi lâu đâu nhé,Thơm nha các k giữ đc mùi lâu đâu nhé
174131100,08/12/2020 01:40,5,Sản phẩm giống hình xài ok,Sản_phẩm giống hình xài ok,Sản_phẩm giống hình xài ok
8120947,21/10/2020 19:19,5,"Đóng gói sản phẩm cực kỳ cẩn thận, hàng ưng mùi thơm lắm, hộp phấn ok nhưng nhũ m thấy chưa đủ xuất sắc nhưng vs giá này thì ok r","Đóng_gói sản_phẩm cực_kỳ cẩn_thận , hàng ưng mùi thơm lắm , hộp phấn ok nhưng nhũ m thấy chưa đủ xuất_sắc nhưng vs giá này thì ok r","Đóng_gói sản_phẩm cực_kỳ cẩn_thận , hàng ưng mùi thơm lắm , hộp phấn ok nhũ m thấy đủ xuất_sắc vs giá thì ok r"
70580967,07/08/2020 13:33,5,"mùi này thơm nhé, xịt ra cổ tay thì khá là nồng nhưng mà như vậy thì sau vẫn còn hương mùi đào ngọt ngào cực, mình để p rùi vẫn thơm mùi đào. thơm lâu hơn nhiều loại Shimang an earthly peach nhé ảnh thứ loại này sau p bay màu hết r, còn mùi man mát","mùi này thơm nhé , xịt ra cổ_tay thì khá là nồng nhưng mà như_vậy thì sau vẫn còn hương mùi đào ngọt_ngào cực , mình để p rùi vẫn thơm mùi đào . thơm lâu hơn nhiều loại Shimang an earthly peach nhé ảnh thứ loại này sau p bay màu hết r , còn mùi man_mát","mùi thơm nhé , xịt ra cổ_tay thì khá nồng như_vậy thì sau vẫn còn hương mùi đào ngọt_ngào cực , để p rùi vẫn thơm mùi đào . thơm lâu hơn loại Shimang an earthly peach nhé ảnh thứ loại sau p bay màu hết r , còn mùi man_mát"
26408040,17/11/2020 12:41,4,Hsbdnckkcciusbenkeldi dkdksiyabsndnnddkdisi ụkdmmdkd,Hsbdnckkcciusbenkeldi dkdksiyabsndnnddkdisi ụkdmmdkd,Hsbdnckkcciusbenkeldi dkdksiyabsndnnddkdisi ụkdmmdkd
3985361,26/09/2020 16:32,5,"Mùi bưởi thấy giống hệt mùi vỏ bưởi, vỏ cam chua mát, hơi ngọt. Trc tìm mua nhiều bodymist mùi đào rồi và mùi này là mùi đào mà mình ưng ý nhất luôn ý. Mùi trà đào ngọt thơm nhẹ, ko bị nồng. Bodymist nếu ở phòng điều hòa, ra mồ hôi thì giữ mùi được h cx do mình xịt lên q.áo khá nhiều","Mùi bưởi thấy giống_hệt mùi vỏ bưởi , vỏ cam chua mát , hơi ngọt . Trc tìm mua nhiều bodymist mùi đào rồi và mùi này là mùi đào mà mình ưng_ý nhất luôn ý . Mùi trà đào ngọt thơm nhẹ , ko bị nồng . Bodymist nếu ở phòng điều hòa , ra mồ_hôi thì giữ mùi được h cx do mình xịt lên q . áo khá nhiều","Mùi bưởi thấy giống_hệt mùi vỏ bưởi , vỏ cam chua mát , hơi ngọt . Trc tìm mua bodymist mùi đào rồi mùi mùi đào ưng_ý nhất luôn ý . Mùi trà đào ngọt thơm nhẹ , ko bị nồng . Bodymist ở phòng điều hòa , ra mồ_hôi thì giữ mùi h cx do xịt lên q . áo khá"
227189868,23/11/2020 10:27,5,Thơm mới đầu xịt hơi nồng về nhau rất nhẹ nhàng mùi không giữ được lâu lắm đóng gói hàng cẩn thận siêu chắc chắn giao cũng nhanh nữa,Thơm mới_đầu xịt hơi nồng về nhau rất nhẹ_nhàng mùi không giữ được lâu lắm đóng_gói hàng cẩn_thận siêu chắc_chắn giao cũng nhanh nữa,Thơm mới_đầu xịt hơi nồng về nhau rất nhẹ_nhàng mùi giữ lâu lắm đóng_gói hàng cẩn_thận siêu chắc_chắn giao nhanh nữa
